"Genotype","Average.halting.duration","Estimated.distance.moved","Estimated.duration.halting","Estimated.duration.halting..duration...180.","Estimated.duration.halting..180....duration...1500.","Estimated.duration.halting..duration....1500.","Estimated.duration.moving","Estimated.duration.moving..duration...10.","Estimated.duration.moving..10....duration...50.","Estimated.duration.moving..duration....50.","Estimated.duration.moving..velocity...0.2.","Estimated.duration.moving..0.2....velocity...0.4.","Estimated.duration.moving..velocity....0.4.","Halt.frequency","Halt.frequency..duration...180.","Halt.frequency..180....duration...1500.","Halt.frequency..duration....1500.","Movement.frequency","Movement.frequency..duration...10.","Movement.frequency..10....duration...50.","Movement.frequency..duration....50.","Movement.frequency..velocity...0.2.","Movement.frequency..0.2....velocity...0.4.","Movement.frequency..velocity....0.4.","Ratio.halting.to.detection.duration","Ratio.movement.to.detection.duration","Ratio.movement.to.halting.duration"
"318",105,98.63,4200.13,1157.89,1402.31,1639.93,900.07,88.21,417.43,394.43,900.07,0,0,40,36,3,1,39,17,17,5,39,0,0,0.82,0.18,0.21
"318",379.4,16.27,4932.59,493.84,2197.17,2241.58,167.61,25,142.61,0,165.81,1.8,0,13,9,3,1,12,6,6,0,11,1,0,0.97,0.03,0.03
"318",41.64,281.45,3073.79,1737.89,1335.9,0,2026.41,149.32,1161.9,715.19,1719.12,307.29,0,73.82,70.65,3.16,0,74.87,26.36,39.02,9.49,65.38,9.49,0,0.6,0.4,0.66
"318",1693.53,2.36,5081,0,2601,2479.99,18.8,1.2,17.6,0,18.8,0,0,3,0,2,1,2,1,1,0,2,0,0,1,0,0
"318",284.38,27.4,4834.78,453.64,2539.4,1841.74,265.42,49.6,81.21,134.61,265.42,0,0,17,11,5,1,16,10,4,2,16,0,0,0.95,0.05,0.05
"195",488.74,28.79,4887.78,287.22,404.03,4196.53,212.02,10.6,201.42,0,169.21,42.8,0,10,8,1,1,10,2,8,0,9,1,0,0.96,0.04,0.04
"195",194.08,75.29,4464.15,692.25,1670.13,2101.76,635.65,14.2,401.03,220.42,635.65,0,0,23,19,3,1,22,3,16,3,22,0,0,0.88,0.12,0.14
"195",175.32,138.9,4199.61,732.75,3466.86,0,900.19,28.74,323.71,547.74,745.75,154.44,0,23.95,19.39,4.56,0,26.23,7.98,12.55,5.7,23.95,2.28,0,0.82,0.18,0.21
"195",344.56,29.96,4824.18,219.42,877.27,3727.49,276.02,42.6,181.21,52.2,276.02,0,0,14,12,1,1,13,6,6,1,13,0,0,0.95,0.05,0.06
"195",131.71,40.37,4687.95,943.28,2052.93,1691.73,412.25,121.42,230.43,60.4,351.85,60.4,0,35.59,31.52,3.05,1.02,34.57,23.39,10.17,1.02,33.56,1.02,0,0.92,0.08,0.09
"195",189.43,147.87,4167.73,434.63,0,3733.09,931.87,39.6,177.01,715.26,711.86,220.02,0,22,20,0,2,23,7,8,8,19,4,0,0.82,0.18,0.22
"155",226.11,68.48,4522.55,313.82,2524.2,1684.53,577.25,43.4,226.22,307.62,544.64,32.6,0,20,14,5,1,20,7,9,4,19,1,0,0.89,0.11,0.13
"155",413.57,12.6,4963.19,248.82,485.24,4229.13,137.01,30.6,106.41,0,137.01,0,0,12,9,2,1,11,7,4,0,11,0,0,0.97,0.03,0.03
"155",701.14,17.62,4908.38,162.01,0,4746.37,191.42,0,130.41,61,191.42,0,0,7,6,0,1,6,0,5,1,6,0,0,0.96,0.04,0.04
